North & South America;BCBA;Bolsa de Comercio de Buenos Aires;
North & South America;BMV;Bolsa Mexicana de Valores;
North & South America;BVMF;BM&F Bovespa;
North & South America;CNSX;Canadian Securities Exchange;
North & South America;CVE;Toronto TSX Ventures Exchange;
North & South America;NASDAQ;NASDAQ Last Sale;
North & South America;NYSE;NYSE;
North & South America;NYSEARCA;NYSE ARCA;
North & South America;NYSEMKT;NYSE MKT;
North & South America;OPRA;Options Pricing Authority Option Chains;
North & South America;OTCBB;FINRA OTC Bulletin Board;
North & South America;OTCMKTS;FINRA: andra OTC-börspapper;
North & South America;TSE;Toronto Stock Exchange;
Europé;AMS;Euronext Amsterdam;
Europé;BIT;Borsa Italiana Milan Stock Exchange;
Europé;BME;Bolsas y Mercados Españoles;
Europé;CPH;NASDAQ OMX Copenhagen;
Europé;EBR;Euronext Bryssel;
Europé;ELI;Euronext Lissabon;
Europé;EPA;Euronext Paris;
Europé;ETR;Deutsche Börse XETRA;
Europé;FRA;Deutsche Börse Frankfurt Stock Exchange;
Europé;HEL;NASDAQ OMX Helsinki;
Europé;ICE;NASDAQ OMX Iceland;
Europé;IST;Borsa Istanbul;
Europé;LON;London Stock Exchange;
Europé;MCX;Moscow Exchange;
Europé;RSE;NASDAQ OMX Riga;
Europé;STO;NASDAQ OMX Stockholm;
Europé;SWX, VTX;SIX Swiss Exchange;
Europé;TAL;NASDAQ OMX Tallinn;
Europé;VIE;Wiener Börse;
Europé;VSE;NASDAQ OMX Vilnius;
Europé;WSE;Warsaw Stock Exchange;
Africa;JSE;Johannesburg Stock Exchange;
Middle East;TADAWUL;Saudi Stock Exchange;
Middle East;TLV;Tel Aviv Stock Exchange;
Asia;BKK;Thailand Stock Exchange;
Asia;BOM;Bombay Stock Exchange Limited;
Asia;KLSE;Bursa Malaysia;
Asia;HKG;Hong Kong Stock Exchange;
Asia;IDX;Indonesia Stock Exchange;
Asia;KOSDAQ;KOSDAQ;
Asia;KRX;Korea Stock Exchange;
Asia;NSE;National Stock Exchange of India;
Asia;SGX;Singapore Exchange;
Asia;SHA;Shanghai Stock Exchange;
Asia;SHE;Shenzhen Stock Exchange;
Asia;TPE;Taiwan Stock Exchange;
Asia;TYO;Tokyo Stock Exchange;
Oceania;ASX;Australian Securities Exchange;
Oceania;NZE;New Zealand Stock Exchange;
